Region,Year,Gender,Age_Group,Population,PCC_litres_year,Correction_factor,Relative_consumption,P_LA,P_FD,P_CD,P_BD
03:NS,2010,Female,65+,78810,9.6876,0.8,28.2062,0.171631,0.265762,0.562608,0.085801
03:NS,2011,Male,15-34,109020,9.568,0.8,100,0.11498,0.089962,0.795058,0.488211
03:NS,2011,Male,35-64,196895,9.568,0.8,93.3111,0.035188,0.14285,0.821963,0.354279
03:NS,2011,Male,65+,59420,9.568,0.8,81.5118,0.111414,0.239707,0.648879,0.22373
03:NS,2011,Female,15-34,114420,9.568,0.8,46.0252,0.170987,0.117775,0.711238,0.354451
03:NS,2011,Female,35-64,208485,9.568,0.8,39.3151,0.091629,0.170736,0.737636,0.22034
03:NS,2011,Female,65+,78810,9.568,0.8,27.4989,0.16841,0.26776,0.56383,0.089644
03:NS,2012,Male,15-34,109165,9.4484,0.8,100,0.111681,0.091936,0.796384,0.492084
03:NS,2012,Male,35-64,197715,9.4484,0.8,93.2478,0.031798,0.1448,0.823401,0.358185
03:NS,2012,Male,65+,67925,9.4484,0.8,81.3219,0.108258,0.241721,0.650021,0.22755
03:NS,2012,Female,15-34,111350,9.4484,0.8,45.491,0.16766,0.119742,0.712598,0.358334
03:NS,2012,Female,35-64,211900,9.4484,0.8,38.7167,0.088256,0.172689,0.739055,0.22424
03:NS,2012,Female,65+,85445,9.4484,0.8,26.7738,0.165253,0.269775,0.564972,0.093465
03:NS,2013,Male,15-34,114247,9.2092,0.8,100,0.109712,0.093077,0.79721,0.494358
03:NS,2013,Male,35-64,189957,9.2092,0.8,93.2109,0.029778,0.145928,0.824294,0.36048
03:NS,2013,Male,65+,80327,9.2092,0.8,81.2054,0.106476,0.24291,0.650613,0.229757
03:NS,2013,Female,15-34,117514,9.2092,0.8,45.1757,0.165682,0.120882,0.713436,0.360612
03:NS,2013,Female,35-64,201861,9.2092,0.8,38.3629,0.086259,0.173822,0.739919,0.226527
03:NS,2013,Female,65+,92792,9.2092,0.8,26.3418,0.163469,0.270964,0.565567,0.095674
